Survived,Pclass,Age,Sex
0,3,22,male
1,1,38,female
1,3,26,female
1,1,35,female
0,3,35,male
0,3,2,male
1,3,27,female
1,2,14,female
1,3,4,female
1,1,58,female
0,3,20,male
0,3,39,male
1,2,55,female
0,3,31,female
0,2,35,male
1,2,34,male
1,1,28,male
0,3,8,female
1,3,38,female
0,2,66,male
0,1,28,male
0,3,21,male
0,3,18,female
1,3,14,female
0,3,40,female
0,2,27,female
1,3,19,female
0,3,18,female
0,3,7,male
1,1,49,female
0,1,65,male
0,3,28.5,male
1,2,5,female
0,3,11,male
1,1,38,female
0,1,45,male
0,3,4,male
1,2,29,female
0,3,19,male
1,3,17,female
0,3,26,male
0,3,16,female
0,3,26,male
0,3,25,male
1,2,0.83,male
1,3,30,female
0,3,22,male
1,3,29,male
0,1,28,male
1,2,17,female
0,3,16,male
1,1,23,female
0,3,24,male
0,3,29,male
0,3,20,male
0,1,46,male
0,3,26,male
0,1,71,male
1,1,23,male
0,2,34,male
0,3,33,male
0,3,37,male
0,3,28,male
1,3,21,female
0,3,38,male
0,1,47,male
0,3,14.5,female
0,3,22,male
0,3,20,female
0,3,17,female
0,3,21,male
0,3,70.5,male
0,1,24,male
0,3,2,female
0,2,21,male
0,2,32.5,male
1,2,32.5,female
0,1,54,male
1,3,12,male
1,3,24,male
0,2,25,male
1,1,19,female
0,1,37,male
0,3,16,male
0,1,24,male
1,3,24,female
0,3,19,male
1,3,27,male
0,3,9,female
1,1,22,female
0,3,55.5,male
0,3,40.5,male
0,3,30,male
0,3,44,male
1,2,40,female
1,3,9,male
0,3,45,female
0,1,61,male
0,3,4,male
0,3,21,male
0,1,56,male
0,3,18,male
0,1,50,female
0,3,36,male
0,3,9,male
1,2,1,male
1,3,4,female
1,1,45,male
0,3,40,male
0,3,36,male
1,2,32,female
1,3,19,female
1,1,58,female
0,3,42,male
0,2,24,female
0,3,28,male
0,3,45.5,male
1,3,18,male
0,3,2,female
0,3,32,male
1,3,26,male
1,3,16,female
0,3,22,male
0,2,30,male
1,1,31,female
1,3,27,female
1,1,32,female
0,2,30,male
1,3,16,male
0,2,27,male
0,3,51,male
1,1,38,male
0,3,22,male
1,2,19,male
0,3,20.5,male
0,2,18,male
1,1,35,female
0,2,59,male
1,3,5,female
0,2,24,male
0,2,44,male
0,2,19,male
0,2,33,male
0,3,22,male
0,3,30,male
0,3,25,female
1,2,24,female
1,1,37,male
0,2,54,male
0,1,62,male
0,3,30,male
1,3,29,female
1,1,30,female
1,1,35,female
1,2,50,female
1,3,3,male
0,1,52,male
0,1,40,male
0,2,36,male
1,1,58,female
1,1,35,female
1,3,25,male
0,1,37,male
1,1,63,female
0,3,45,female
0,3,7,male
1,3,35,female
0,3,16,male
1,3,19,male
0,3,33,male
1,3,22,female
1,1,19,female
0,2,36,male
0,3,24,female
0,3,23.5,male
1,1,50,female
0,3,19,male
1,1,17,female
1,1,30,female
1,1,24,female
1,1,18,female
0,2,26,female
0,3,28,male
0,2,43,male
1,3,26,female
1,2,24,female
0,2,54,male
1,1,31,female
1,2,22,female
1,1,36,female
0,3,61,male
1,3,31,female
0,1,45.5,male
